Postnummer;Poststed;FylkeKode;Fylke;KommuneKode;Kommune;PostnummerKategoriKode;PostnummerKategori;Latitude;Longitude
4864;ÅMLI;9;AUST-AGDER;929;ÅMLI;P;Postbokser;58.7697910;8.4865530
4865;ÅMLI;9;AUST-AGDER;929;ÅMLI;G;Gateadresser og stedsadresser;58.7699700;8.4883600
4868;SELÅSVATN;9;AUST-AGDER;929;ÅMLI;G;Gateadresser og stedsadresser;58.6916000;8.7267000
4869;DØLEMO;9;AUST-AGDER;929;ÅMLI;G;Gateadresser og stedsadresser;58.7100300;8.3387950
4870;FEVIK;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.3816400;8.6756100
4876;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.3394400;8.5885200
4877;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.3444900;8.5766300
4878;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.3503500;8.5960600
4879;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.3203700;8.5678300
4884;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;P;Postbokser;58.3399400;8.5547800
4885;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.3903770;8.6359120
4886;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.3531400;8.5148300
4887;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.2958700;8.5114100
4888;HOMBORSUND;9;AUST-AGDER;904;GRIMSTAD;G;Gateadresser og stedsadresser;58.2678980;8.5113360
4889;FEVIK;9;AUST-AGDER;904;GRIMSTAD;P;Postbokser;58.3816400;8.6756100
4891;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;P;Postbokser;58.3405000;8.5934000
4892;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;P;Postbokser;58.3405000;8.5934000
4893;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;P;Postbokser;(blank);(blank)
4894;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;P;Postbokser;58.3445100;8.5840500
4896;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;P;Postbokser;58.3445100;8.5840500
4898;GRIMSTAD;9;AUST-AGDER;904;GRIMSTAD;P;Postbokser;58.3405000;8.5934000
4900;TVEDESTRAND;9;AUST-AGDER;914;TVEDESTRAND;G;Gateadresser og stedsadresser;58.6220000;8.9266000
4901;TVEDESTRAND;9;AUST-AGDER;914;TVEDESTRAND;P;Postbokser;58.6260200;8.9263700
4902;TVEDESTRAND;9;AUST-AGDER;914;TVEDESTRAND;P;Postbokser;58.6260200;8.9263700
4909;SONGE;9;AUST-AGDER;914;TVEDESTRAND;G;Gateadresser og stedsadresser;58.6852640;9.0041840
4910;LYNGØR;9;AUST-AGDER;914;TVEDESTRAND;B;Både gateadresser og postbokser;58.6335000;9.1304000
4912;GJEVING;9;AUST-AGDER;914;TVEDESTRAND;G;Gateadresser og stedsadresser;58.6471000;9.1239300
4915;VESTRE SANDØYA;9;AUST-AGDER;914;TVEDESTRAND;G;Gateadresser og stedsadresser;58.5879900;9.0390400
4916;BORØY;9;AUST-AGDER;914;TVEDESTRAND;G;Gateadresser og stedsadresser;58.5771100;9.0026500
4920;STAUBØ;9;AUST-AGDER;906;ARENDAL;B;Både gateadresser og postbokser;58.5627000;8.9827000
4934;NES VERK;9;AUST-AGDER;914;TVEDESTRAND;G;Gateadresser og stedsadresser;58.6289000;8.8566700
4950;RISØR;9;AUST-AGDER;901;RISØR;G;Gateadresser og stedsadresser;58.7206000;9.2342000
4951;RISØR;9;AUST-AGDER;901;RISØR;P;Postbokser;58.7205100;9.2349100
4952;RISØR;9;AUST-AGDER;901;RISØR;P;Postbokser;58.7205100;9.2349100
4953;RISØR;9;AUST-AGDER;901;RISØR;P;Postbokser;58.7205100;9.2349100
4955;RISØR;9;AUST-AGDER;901;RISØR;P;Postbokser;58.7156500;9.2217300
4971;SUNDEBRU;9;AUST-AGDER;911;GJERSTAD;P;Postbokser;58.8221700;9.0739200
4972;GJERSTAD;9;AUST-AGDER;911;GJERSTAD;P;Postbokser;58.8812700;9.0187100
4973;VEGÅRSHEI;9;AUST-AGDER;912;VEGÅRSHEI;P;Postbokser;58.7492100;8.8642100
4974;SØNDELED;9;AUST-AGDER;901;RISØR;P;Postbokser;58.7604300;9.0754300
4980;GJERSTAD;9;AUST-AGDER;911;GJERSTAD;G;Gateadresser og stedsadresser;58.8809660;9.0188640
4985;VEGÅRSHEI;9;AUST-AGDER;912;VEGÅRSHEI;G;Gateadresser og stedsadresser;58.7492590;8.8626520
4990;SØNDELED;9;AUST-AGDER;901;RISØR;G;Gateadresser og stedsadresser;58.7602550;9.0754690
4993;SUNDEBRU;9;AUST-AGDER;911;GJERSTAD;G;Gateadresser og stedsadresser;58.8218740;9.0727330
4994;AKLAND;9;AUST-AGDER;901;RISØR;G;Gateadresser og stedsadresser;58.7320890;9.0390010
5003;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3992180;5.3226830
5004;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3977870;5.3110310
5005;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3967200;5.3120400
5006;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3836130;5.3219050
5007;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3871650;5.3230560
5008;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3865800;5.3301500
5009;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3805200;5.3597600
5010;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3909700;5.3160100
5011;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3940000;5.3148600
5012;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3933000;5.3214000
5013;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3943000;5.3225800
5014;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3918620;5.3229020
5015;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3901000;5.3214000
5016;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3928850;5.3292040
5017;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3939160;5.3304230
5018;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3904300;5.3396600
5019;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3879490;5.3537320
5020;BERGEN;12;HORDALAND;1201;BERGEN;P;Postbokser;60.3930000;5.3242000
5021;BERGEN;12;HORDALAND;1201;BERGEN;B;Både gateadresser og postbokser;60.3739140;5.3595690
5022;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3889000;5.3438000
5031;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.3990800;5.3302310
5032;BERGEN;12;HORDALAND;1201;BERGEN;G;Gateadresser og stedsadresser;60.4006000;5.3224000
